"","breakpoint","magnitude","deforested"
"1",0,-0.022885164245963,"n"
"2",0,-0.012080033309758,"n"
"3",0,-0.038600105792284,"n"
"4",1,-0.068183995783329,"n"
"5",1,-0.065885618329048,"n"
"6",1,-0.080533653497696,"n"
"7",1,0.149825572967529,"n"
"8",1,0.166391238570213,"n"
"9",1,0.148371770977974,"n"
"10",0,0.041870769113302,"n"
"11",0,0.040046326816082,"n"
"12",0,0.0380191616714,"n"
"13",0,-0.002788265934214,"n"
"14",0,-0.013004127889872,"n"
"15",0,-0.011359383352101,"n"
"16",0,0.003318282775581,"n"
"17",0,-0.000313276425004,"n"
"18",0,0.004893759731203,"n"
"19",1,-0.103718183934689,"y"
"20",1,-0.114901177585125,"y"
"21",1,-0.101665236055851,"y"
"22",0,-0.000109340107883,"y"
"23",0,0.025663580745459,"y"
"24",0,-0.013644984923303,"n"
"25",0,0.027281289920211,"n"
"26",0,0.020040700212121,"n"
"27",1,-0.072106577455997,"n"
"28",1,-0.067414693534374,"n"
"29",1,-0.041240155696869,"n"
"30",1,-0.074536398053169,"n"
"31",1,-0.05912896245718,"n"
"32",1,-0.06135580688715,"n"
"33",1,-0.032549943774939,"n"
"34",1,-0.041792213916779,"n"
"35",1,-0.04252702742815,"n"
"36",1,-0.074913837015629,"y"
"37",1,-0.062222078442574,"y"
"38",1,-0.06297966837883,"y"
"39",1,-0.033113956451416,"n"
"40",1,-0.085780240595341,"y"
"41",1,-0.121698401868343,"n"
"42",0,0.01677543669939,"n"
"43",0,0.016045616939664,"n"
"44",0,-0.007307189982384,"n"
"45",1,-0.102725170552731,"n"
"46",1,-0.090146981179714,"n"
"47",1,-0.063147209584713,"n"
"48",1,-0.076047264039516,"y"
"49",1,-0.105399250984192,"y"
"50",1,-0.124662317335606,"y"
"51",0,0.018576273694634,"n"
"52",0,0.002297691768035,"n"
"53",0,0.007924085482955,"n"
"54",0,0.061765313148499,"n"
"55",0,0.041341047734022,"n"
"56",0,0.030939996242523,"n"
"57",1,-0.134942710399628,"y"
"58",1,-0.175307869911194,"y"
"59",1,-0.155131980776787,"y"
"60",1,-0.056714661419392,"y"
"61",1,-0.090830884873867,"y"
"62",1,-0.069761745631695,"n"
"63",1,-0.128583237528801,"n"
"64",0,0.013485728763044,"n"
"65",0,0.00688285427168,"n"
"66",0,0.037744425237179,"n"
"67",0,0.027295552194118,"n"
"68",1,-0.043163955211639,"n"
"69",0,0.029366897419095,"n"
"70",1,-0.068615920841694,"n"
"71",1,-0.071253731846809,"y"
"72",1,-0.004608717747033,"n"
"73",1,-0.028075473383069,"n"
"74",1,-0.086737856268883,"n"
"75",1,-0.047847844660282,"n"
"76",0,-0.039192270487547,"y"
"77",1,-0.095953993499279,"y"
"78",1,-0.068479143083096,"y"
"79",1,-0.105168603360653,"n"
"80",1,-0.098020203411579,"n"
"81",0,0.005815162323415,"n"
"82",0,-0.048569466918707,"n"
"83",1,-0.064876422286034,"y"
"84",1,-0.07330721616745,"y"
"85",0,-0.081640496850014,"n"
"86",1,-0.104538448154926,"n"
"87",0,-0.059073206037283,"n"
"88",1,-0.032270066440105,"n"
"89",1,-0.006902033928782,"n"
"90",0,-0.12618288397789,"y"
"91",0,0.042567029595375,"n"
"92",0,0.030625334009528,"n"
"93",0,0.002144745318219,"n"
"94",1,-0.0387640632689,"n"
"95",0,0.055626071989536,"n"
"96",0,0.05465004965663,"n"
"97",0,0.052461124956608,"n"
"98",0,0.004591080360115,"n"
"99",0,0.076591558754444,"n"
"100",0,0.026323406025767,"n"
